"mapper_osm_username","actual_work_date","changesets_count","total_changes"
"Oketch ochieng","2026-01-16","12","3478"
"OUMAD4VD","2026-01-16","5","1542"
"Richardmuchina","2026-01-16","13","1402"
"ritah22","2026-01-16","4","1154"
"samuelmutie20","2026-01-16","2","1367"
"Selah Muema","2026-01-16","3","1740"
"SELINA LIPUKAH","2026-01-16","6","1347"
"SomoDuba","2026-01-16","5","1461"
"Sophie Gesare","2026-01-16","3","1326"
"stephennjuguna","2026-01-16","19","1624"
"Steven Odhiambo","2026-01-16","4","1845"
"Wanjiruwaithira","2026-01-16","6","1562"
"AUSTINE OCHIENG","2026-01-19","3","1319"
"BenMutua","2026-01-19","7","1543"
"bill njiru","2026-01-19","4","1730"
"Brian Karani","2026-01-19","2","1456"
"catherinewanjira","2026-01-19","10","1386"
"DENNIS MUSAU","2026-01-19","8","2650"
"DIANA KASYULA","2026-01-19","5","1052"
"Festus Kaluki","2026-01-19","3","341"
"gillberto","2026-01-19","3","1949"
"JANE NJUGUNA","2026-01-19","5","2044"
"Jeremiah james","2026-01-19","3","1280"
"JOEL KIHURIA","2026-01-19","2","1129"
"joyce56","2026-01-19","4","1300"
"KamauNgigi","2026-01-19","16","3762"
"kamauwaithera","2026-01-19","8","1528"
"Kelvin Kinyatta","2026-01-19","1","1319"
"Kelvin Mulela","2026-01-19","2","1227"
"liliannaliaka","2026-01-19","2","691"
"LYNNKARANJA","2026-01-19","3","1911"
"martingitau","2026-01-19","18","2734"
"mutuku254","2026-01-19","4","1294"
"njugunamurihia","2026-01-19","6","1978"
"OUMAD4VD","2026-01-19","10","1491"
"Richardmuchina","2026-01-19","7","1545"
"ritah22","2026-01-19","3","1161"
"samuelmutie20","2026-01-19","1","914"
"Selah Muema","2026-01-19","5","1540"
"SELINA LIPUKAH","2026-01-19","9","1443"
"SomoDuba","2026-01-19","14","1195"
"Sophie Gesare","2026-01-19","3","1214"
"stephennjuguna","2026-01-19","10","1880"
"Steven Odhiambo","2026-01-19","3","1684"
"Wanjiruwaithira","2026-01-19","6","1629"
"catherinewanjira","2026-01-20","4","824"
"DENNIS MUSAU","2026-01-20","14","2602"
"DIANA KASYULA","2026-01-20","7","1016"
"Festus Kaluki","2026-01-20","1","437"
"gillberto","2026-01-20","3","1400"
"JANE NJUGUNA","2026-01-20","3","1407"
"Jeremiah james","2026-01-20","2","1326"
"JOEL KIHURIA","2026-01-20","2","1338"
"joyce56","2026-01-20","5","1252"
"KamauNgigi","2026-01-20","12","2188"
"kamauwaithera","2026-01-20","7","1043"
"Kelvin Kinyatta","2026-01-20","3","1357"
"Kelvin Mulela","2026-01-20","2","1423"
"liliannaliaka","2026-01-20","1","1082"
"LYNNKARANJA","2026-01-20","2","1271"
"martingitau","2026-01-20","2","750"
"mutuku254","2026-01-20","4","1310"
"njugunamurihia","2026-01-20","5","1101"
"Oketch ochieng","2026-01-20","12","3370"
"OUMAD4VD","2026-01-20","4","1371"
"Richardmuchina","2026-01-20","3","852"
"ritah22","2026-01-20","4","1139"
"samuelmutie20","2026-01-20","1","1362"
"Selah Muema","2026-01-20","7","1550"
"SELINA LIPUKAH","2026-01-20","5","1579"
"SomoDuba","2026-01-20","7","1003"
"Sophie Gesare","2026-01-20","5","1113"
"Steven Odhiambo","2026-01-20","2","1619"
"Wanjiruwaithira","2026-01-20","8","1568"
